,id,title,title_lower,type,description,release_year,country_code,country,genre,seasons,age_certification,age_group,runtime,runtime_type,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
2302,ts79585,Dinotrux: Supercharged,dinotrux: supercharged,SHOW,"Amped up with powers that make them faster, stronger and more agile than ever, the Dinotrux are back to face new challenges and meet new friends.",2017,US,United States of America,animation,3,TV-Y7,children,23,short,7.5,98,8.19,9.4
2303,tm444043,Hometown Holiday,hometown holiday,MOVIE,"Krista is starting this New Year with a new business and a resolution to be more selective with who she dates. When Krista meets Ryan Rourke, an entertainment lawyer from LA, the two really hit it off. Ryan is in her hometown to sign a local rancher turned viral signing sensation as his new client. Now with Krista also in Rust Creek, maybe there is more of a reason to stick around. Both are holding onto things from their past and are forced to make some decisions if they truly want to be together.",2018,CA,Canada,comedy,0,not specified,not specified,84,medium,5.0,1003,3.821,5.6
2304,ts83554,Inside the Criminal Mind,inside the criminal mind,SHOW,Explore the psychological machinations and immoral behavior that define the most nefarious types of criminals.,2018,US,United States of America,crime,1,TV-MA,adults,49,long,5.4,1014,2.304,6.1
2305,tm287041,Jailbreak,jailbreak,MOVIE,"What started as a simple escort mission will soon turn to chaos as the prisoners of Koh Kla take over the prison grounds. A special task force [Jean-Paul Ly, Dara Our, Tharoth Sam] gets trapped in the prison will have to fight their way out for survival, to protect a key witness [Savin Phillip].",2017,KH,Cambodia,action,0,not specified,not specified,100,long,5.4,1467,3.748,5.9
2306,tm327652,"Roxanne, Roxanne","roxanne, roxanne",MOVIE,"The most feared battle emcee in early-'80s NYC was a fierce teenager from the Queensbridge projects with the weight of the world on her shoulders. At age 14, hustling the streets to provide for her family, Roxanne Shanté was well on her way to becoming a hip-hop legend.",2017,US,United States of America,drama,0,not specified,not specified,98,long,6.2,3222,10.636,6.1
2307,tm416620,Quién te cantará,quién te cantará,MOVIE,"Lila, a famous retired singer, loses her memory after suffering an accident, just as she planned her return to the stage.",2018,ES,Spain,drama,0,not specified,not specified,125,long,6.9,2915,6.137,7.2
2308,tm354644,Something Huge,something huge,MOVIE,"Dani Tomás (Berto Romero) is a television screenwriter disillusioned and bored of his work. One day he receives unexpected news: for a legal error he must repeat eighth grade. Now, he returns to a world he already thought he had forgotten, living new experiences and experiencing a multitude of unexplained situations and hilarious events. But he will not be alone in this epic adventure, because he will have the help of the peculiar director of the school (Carlos Areces), a police officer (Antonio de la Torre, May God forgive us) and an enigmatic classmate (Carolina Bang).",2017,ES,Spain,comedy,0,not specified,not specified,86,medium,4.4,483,2.809,3.8
2309,ts82565,Sparta,sparta,SHOW,"If you ever asked yourself what if there is any place where all your desires could suddenly come true, you should play «Sparta». «Sparta» is a game without any rules. Experiencing the game will change your life by the reason of virtual world crossing the borders and becoming the part of our daily routine.",2018,RU,Russian Federation,thriller,1,TV-MA,adults,53,long,6.6,449,9.31,7.7
2310,tm299730,Lucid Dream,lucid dream,MOVIE,"Dae-ho, an investigative journalist, seeks to track down the whereabouts of his son who was abducted three years ago. With the help of a detective and a psychiatrist friend, he will retrace his memory of the incident through the use of lucid dreaming techniques.",2017,KR,"Korea, Republic of",thriller,0,not specified,not specified,101,long,6.1,3680,13.492,6.2
2311,tm331117,Carbone,carbone,MOVIE,"In danger of losing his business, Anthony Roca, an ordinary man, develops a scam that will become the heist of the century. Overtaken by the crime, he will have to deal with betrayal, murder and settling.",2017,BE,Belgium,thriller,0,not specified,not specified,104,long,6.5,2587,8.097,6.8
2312,tm417317,Bhavesh Joshi Superhero,bhavesh joshi superhero,MOVIE,"A young man who stands for the right discovers that he's destined to do bigger things, which will transform him from a common man into a Superhero.",2018,IN,India,action,0,not specified,not specified,155,long,7.6,8857,4.151,8.0
2313,tm359150,Nothing to Hide,nothing to hide,MOVIE,"To spice up a dinner party, old friends agree to share every private message that pops up on their phones -- with disastrous results.",2018,BE,Belgium,drama,0,not specified,not specified,93,long,6.8,15185,13.897,6.5
2314,ts79409,A.I.C.O. -Incarnation-,a.i.c.o. -incarnation-,SHOW,"In Japan in the year 2035, an accident known as the ""Burst"" occurs during a research project, spawning an out-of-control artificial life form called ""Matter"" that has spread throughout the Kurobe Gorge. The research city that was once hailed as the hope for humanity is cordoned off by the government. Two years later, 15-year-old Aiko Tachibana, who lost her family in the Burst, learns something unbelievable from Yuya Kanzaki, a new student at her school. A secret is hidden within her body, and the answer to the puzzle lies at the ""Primary Point"" that was the center of the Burst. Aiko resolves to infiltrate the restricted area, escorted by a team of divers and with Yuya as her guide. When boy meets girl with the fate of humanity in their hands, what new truth will come to light?",2018,JP,Japan,animation,1,TV-14,supervised,25,short,6.3,1203,11.039,6.3
2315,tm358666,The Awakening of Motti Wolkenbruch,the awakening of motti wolkenbruch,MOVIE,"The young Orthodox Jew, Motti Wolkenbruch, finds himself at a turning point. His beloved mother wants him to get married and presents one marriage candidate after the other. Unfortunately none of the woman pleases him, because they all look just like her. The situation gets even more complicated, when Motti secretly falls in love with the non-Jewish girl Laura, a so-called Shiksa.",2018,DE,Germany,comedy,0,not specified,not specified,94,long,6.6,4330,8.709,5.7
2316,ts119730,Luo Bao Bei,luo bao bei,SHOW,The story is about a 7-year-old Luo Bao Bei as she navigates childhood and the world around her. Fantasy and dreams add elements of surrealism.,2018,unknown,unknown,animation,1,TV-Y,children,11,short,8.0,38,-1.0,-1.0
2317,ts53264,My Shy Boss,my shy boss,SHOW,The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.,2017,KR,"Korea, Republic of",comedy,1,TV-MA,adults,71,long,7.2,1614,10.861,8.0
2318,ts83359,100 Days My Prince,100 days my prince,SHOW,"Lee Yool falls off a cliff and nearly dies in an attempted assassination. He loses his memory, and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.",2018,KR,"Korea, Republic of",drama,1,TV-14,supervised,75,long,7.7,2068,10.313,8.323
2319,ts83071,Afflicted,afflicted,SHOW,Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers -- and relief.,2018,BR,Brazil,documentation,1,TV-MA,adults,42,long,5.1,1120,6.058,5.2
2320,tm300447,Bill Burr: Walk Your Way Out,bill burr: walk your way out,MOVIE,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language.",2017,US,United States of America,comedy,0,not specified,not specified,77,medium,7.2,7256,4.913,6.8
2321,ts84484,Dancing Queen,dancing queen,SHOW,Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day -- and the drag world by night.,2018,US,United States of America,reality,1,not specified,not specified,41,long,6.9,1614,7.295,6.6
2322,ts75012,Million Yen Women,million yen women,SHOW,"Five beautiful but mysterious women move in with unsuccessful novelist Shin, who manages their odd household in exchange for a tidy monthly sum.",2017,JP,Japan,drama,1,not specified,not specified,30,short,7.6,1835,10.133,6.8
2323,ts80208,Fugitiva,fugitiva,SHOW,A woman organizes an escape plan camouflaged as a kidnapping to protect her children from her husband's enemies.,2018,ES,Spain,drama,1,TV-MA,adults,52,long,5.6,665,5.727,6.9
2324,tm463806,The Legend of Cocaine Island,the legend of cocaine island,MOVIE,A family man with no drug running experience searches the Caribbean for a lost stash of cocaine said to be worth at least $2 million.,2018,US,United States of America,documentation,0,not specified,not specified,87,medium,6.3,3323,11.611,6.5
